epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,355.099,1.11061,2.25211,1.15994,1.36705,0.63323,0.27384,0.27543,0.15155,0.58699,0.22743,0.21145,0.08679,1.70957,3.24782,1.97413,1.94154,0.00210425,0.00210425,0.00210425
119,357.704,1.11831,2.23525,1.15224,1.35154,0.61396,0.29095,0.27317,0.15309,0.57457,0.22352,0.19771,0.08111,1.71088,3.34397,1.99155,1.9464,0.0020795,0.0020795,0.0020795
120,360.426,1.11307,2.18657,1.17497,1.35631,0.32697,0.36808,0.29146,0.15597,0.58606,0.24119,0.20167,0.08393,1.70224,3.32844,1.99554,1.94366,0.00205475,0.00205475,0.00205475
121,363.184,1.13934,2.32164,1.18045,1.38739,0.39978,0.38222,0.29632,0.15623,0.35581,0.29617,0.21115,0.09474,1.72854,3.27904,2.03199,1.96597,0.00203,0.00203,0.00203
122,365.864,1.13463,2.24795,1.12432,1.35535,0.48312,0.32334,0.29384,0.15184,0.47881,0.29198,0.2507,0.10122,1.71763,3.06813,1.91389,1.97445,0.00200525,0.00200525,0.00200525
123,368.615,1.1341,2.2181,1.15492,1.36562,0.42826,0.35675,0.29363,0.15236,0.57187,0.27526,0.25207,0.10509,1.66954,3.02334,1.90286,1.93534,0.0019805,0.0019805,0.0019805
124,371.313,1.18209,2.26548,1.17729,1.37837,0.55585,0.36469,0.30127,0.15399,0.41515,0.33206,0.25851,0.10309,1.67133,2.9944,1.87203,1.92346,0.00195575,0.00195575,0.00195575
125,373.944,1.10295,2.18887,1.10904,1.34921,0.44068,0.40015,0.2912,0.15101,0.43532,0.38658,0.2453,0.10147,1.65112,3.01993,1.86226,1.91785,0.001931,0.001931,0.001931
126,376.549,1.12302,2.22636,1.1458,1.36502,0.44061,0.35034,0.30761,0.15833,0.41888,0.30773,0.25407,0.106,1.6273,2.9896,1.83819,1.90445,0.00190625,0.00190625,0.00190625
127,379.271,1.17657,2.38439,1.19065,1.40125,0.47204,0.36178,0.31167,0.16314,0.54477,0.32301,0.25745,0.10552,1.59996,2.93177,1.85701,1.89058,0.0018815,0.0018815,0.0018815
128,381.953,1.12884,2.2325,1.15639,1.37709,0.48599,0.37571,0.31043,0.16223,0.46113,0.32848,0.25685,0.10249,1.59056,2.93173,1.87349,1.88674,0.00185675,0.00185675,0.00185675
129,384.635,1.0761,2.12518,1.06276,1.33291,0.47429,0.34034,0.30749,0.16387,0.4596,0.31579,0.26402,0.10297,1.58789,2.93272,1.86461,1.8829,0.001832,0.001832,0.001832
130,387.258,1.05631,2.17287,1.09277,1.33529,0.43646,0.36014,0.30574,0.16165,0.33447,0.35647,0.26037,0.1047,1.61308,2.93024,1.89024,1.89454,0.00180725,0.00180725,0.00180725
131,389.923,1.15886,2.20788,1.15201,1.36807,0.47203,0.30666,0.30918,0.15967,0.33421,0.35085,0.25474,0.10148,1.65419,2.98371,1.95327,1.91606,0.0017825,0.0017825,0.0017825
132,392.701,1.1483,2.23632,1.12512,1.37505,0.27427,0.42389,0.31176,0.16558,0.25554,0.37655,0.25812,0.11106,1.67847,3.00436,1.95827,1.93378,0.00175775,0.00175775,0.00175775
