epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,797.921,2.10807,4.58772,3.14486,2.3133,0.25849,0.11028,0.05341,0.01471,0.22633,0.05517,0.02597,0.0061,2.37421,4.91382,3.6058,2.65345,0.0012971,0.0012971,0.0012971
73,809.339,2.15097,4.52895,3.03521,2.32302,0.32358,0.07603,0.0543,0.01617,0.29761,0.04107,0.02404,0.00663,2.36218,4.89509,3.50937,2.65515,0.0012872,0.0012872,0.0012872
74,820.652,2.04735,4.61574,3.02714,2.26321,0.32358,0.07603,0.0543,0.01617,0.29761,0.04107,0.02404,0.00663,2.36218,4.89509,3.50937,2.65515,0.0012773,0.0012773,0.0012773
75,832.383,2.10622,4.62886,3.0732,2.3117,0.41744,0.07552,0.05315,0.01648,0.4088,0.05483,0.03342,0.00775,2.34949,4.86578,3.49552,2.64742,0.0012674,0.0012674,0.0012674
76,843.813,2.13253,4.52353,3.06784,2.30634,0.41785,0.05647,0.04975,0.01518,0.39916,0.04618,0.02851,0.00772,2.35901,4.94531,3.56719,2.63697,0.0012575,0.0012575,0.0012575
77,854.384,2.11283,4.64513,3.04831,2.30632,0.25689,0.14726,0.04742,0.01573,0.4781,0.03463,0.02582,0.00692,2.37536,4.95658,3.66941,2.6715,0.0012476,0.0012476,0.0012476
78,864.763,2.15938,4.70301,3.02817,2.30502,0.30775,0.12784,0.0523,0.01548,0.48776,0.03463,0.02871,0.00724,2.36183,4.92505,3.69297,2.67345,0.0012377,0.0012377,0.0012377
79,875.33,2.1469,4.63423,3.04715,2.3156,0.31054,0.11986,0.04994,0.01622,0.38887,0.03463,0.02465,0.00697,2.35129,4.86953,3.63474,2.63461,0.0012278,0.0012278,0.0012278
80,886.018,2.12031,4.64511,3.05322,2.30908,0.18929,0.10674,0.05402,0.01664,0.22773,0.04293,0.02217,0.0057,2.30886,4.81663,3.60689,2.60876,0.0012179,0.0012179,0.0012179
81,896.578,2.01642,4.51816,2.98958,2.21861,0.15099,0.10151,0.04126,0.0128,0.11886,0.04726,0.01376,0.00339,2.39965,4.86553,3.85655,2.69023,0.001208,0.001208,0.001208
82,907.109,2.03409,4.57175,2.96286,2.24784,0.15473,0.12109,0.04736,0.01494,0.12311,0.04863,0.01772,0.00455,2.44297,4.85133,3.81618,2.75218,0.0011981,0.0011981,0.0011981
83,917.728,2.1385,4.57226,3.01993,2.29252,0.15473,0.12109,0.04736,0.01494,0.12311,0.04863,0.01772,0.00455,2.44297,4.85133,3.81618,2.75218,0.0011882,0.0011882,0.0011882
84,928.245,2.22614,4.56489,3.11971,2.38393,0.15021,0.12436,0.05245,0.01644,0.13103,0.06321,0.0227,0.00603,2.48029,4.87354,3.9579,2.80858,0.0011783,0.0011783,0.0011783
85,938.988,2.05992,4.57441,3.03883,2.29719,0.14123,0.12394,0.05789,0.0184,0.12952,0.05821,0.02282,0.00622,2.4389,4.84886,3.94184,2.78494,0.0011684,0.0011684,0.0011684
86,950.407,2.03726,4.56513,2.92899,2.27322,0.14812,0.09806,0.04965,0.01465,0.14176,0.04732,0.02229,0.00472,2.49189,4.94348,4.12811,2.80516,0.0011585,0.0011585,0.0011585
87,960.976,2.11184,4.52822,2.93432,2.27246,0.32473,0.07882,0.0449,0.01488,0.28783,0.03463,0.01118,0.0028,2.50307,5.05921,3.63329,2.79758,0.0011486,0.0011486,0.0011486
88,971.451,2.04848,4.6214,2.94928,2.28072,0.40941,0.08127,0.04156,0.01501,0.56741,0.03175,0.01587,0.00335,2.5135,4.97317,3.51185,2.77484,0.0011387,0.0011387,0.0011387
